text,label
Llámelo como usted quiera...Pero lo veo muy bn!! 👏,
Lo que si te puedo decir es que es un ahorro para el país que en ningún otro gobierno no hubiese hecho ellos no está haciendo el mejor gobierno de el mundo pero para lo que estaba lo están haciendo bien no podemos crítica algo que está bien no crees @elantinoti,
El populismo se lo hacen las personas que lo todo lo graban y todo lo publican.,
Ahora los corruptos del PLD quieren catalogar la humildad de presidente como populismo😂😂😂. Hay que ver vainas,positivo
"Dando cátedra de humildad, siempre demostrando que no es mejor que nadie por el simple hecho de ser presidente.",
A todo le quieren buscar la 5ta pata.. gran vaina Sergio,
"To ' lo critican, DIABLODIOMIO!",
Todo lo critican! Abel con una fortuna cuestionable viaja en avión privado eso si es de investigar y preocupante!,
No hay que joder tanto,
Pero cuando están en la ciudad andan con una escolta kilométrica,
Si llegará a los pobres tanta humanidad tendríamos un país justo de igualdad social 😢,
"Segun muchos eso es ""humildad""",
Bueno si el populismo realmente economiza bienvenido sea… esperemos sea costumbre y ley para todos los funcionarios,positivo
"Yo pienso que está bien y espero siempre sus viajes sean ha si, mientras el esté en el poder, y aunque es te gobierno sea destacado por no cumplir supuestamente sus promesas yo pienso lo contrario hay más echos que palabras y aunque ellos estén robando como todos los gobiernos que han pasado, yo siento que de alguna forma u otra ellos dejarán su legado y serán recordados como un gobierno de invocación, porque han quitado y puestos muchas cosas que pedíamos a gritos que quitarán.",
"Gran mierdad, y ya con eso bajo la canasta familiar, la delincuencia o el combustible ? Eso es buscando sonido para que el pueblo se olvide de los problemas 😓 estamos jodidos 😧",
Mi opinión más sana y justa sería. Que faltan 3 años más. 😂😂😂😂.,
"Austeridad obvio, el puede darsela en rico y viajar aparte mas sin embargo miren eso",
"Pienso que Raquel lo daño to con ese vestido tan feo que le vendieron, una mujer elegante que no necesita mucho accesorios pudo haber hecho un esfuerzo",
Bien por el no es todo luki prefiero a Luis que a los ladrones del partido del pld al cual yo pertenecía en este gobierno por lo menos lo meten preso en el otro lo celebraban el vivo decía cuál corrupcion 🔥,
"Más bien creo que es humildad, y sea lo que sea no le hace daño al país.",
"AUSTERIDAD, humildad 👏 😍",
Un Avion Lleno De Lambones Y Aduladores!! Pq los aplausos ? Esto no es corea del Norte...,
Como la gata angora...no se puede criticar todo!🤦‍♂️,
Qué hay muchas gente sin oficio que todo le molesta 🌝,
Lo que te de tu gana pero eses bien por el presidente.  Si hace lo contrario también es una baina.,
Para mi es un buen jesto de su parte y 👏👏👏,
"Todos viajamos por donde nos de la gana, hay que dejarlo a él tranquilo que viaje como el entienda mejor para el.",
@raymundodaniel03 eso mismo pienso,
Figureo,
@manolocabrera49 Usted interpreta como si caminara de cabeza?,
"Me parece que un buen líder da el ejemplo. Eso es una señal a los demás.  Noto que tanto el como quienes le acompañan, cargan sus propias pertenencias. Muy bien! 👏👏👏",
"Humano,  entiende la situación económica y utiliza la empatia,..como ciudadano no los recursos del estado para desbaratar más la economía.",
"Por lo regular queremos satanizar a algunos políticos, pero hay que dejarlos también que sr manejen con algo de humildad.",
"Y en países europeos que viajan en transporte público, es populismo? O en México? Será Abinader un Dios que no puede viajar como un simple mortal. 😂",
"Está copiando al de México, pero el tiene que cuidarse tiene muchos enemigos",
"Yo lo que se es que ahí se esta ahorrando un dinero a favor del estado,no se si es populismo o austeridad, por algo se debe comenzar @elantinoti",
"@elantinoti dale un poco de credibilidad al Presidente,  no lo lleves todo al plano de ver siempre lo malo.  Mira el vaso medio lleno.",
"Lo veo bien como ejemplo ante tantos políticos ostentosos y delincuentes que tenemos. Ahora bien, no está mal que un jefe de estado en viaje oficial vaya en primera clase. A cualquiera le dan un upgrade.",
Nuestro Presidente enseñando que la Humildad va por encima de todo👏,
Ese es el verdadero nombre de la austeridad 🙌,
"No creo en nada eso, nos ven cara de pende**",
No un ejemplo de servidor de su pueblo y alguien que sabe el valor de los recursos de nuestra nación,
Creo que es Populismo pero acabamos de salir del PLD de Danilo así que cualquier cosa es mejor 😂,negativo
@ soy un fiel seguidor de tu programa y te apoyo 100% en todo lo que hace pero creo que esté presidente tiene todas las intenciones de tratar y hacer las cosas bien nunca antes la República Dominicana se hubiera visto lo que está pasando En este gobierno ,
"Populismo barato, les recuerdo que Danilo llego hacer lo mismo. Hacen lo que sea para mantenernos embobados y después a seguir cogiendo préstamos.",
#Austeridad🇩🇴,
"Eso está muy bien, excelente 👏👏👏👏",
"No es por criticar pero creo que es populismo, por que este país tiene tantas cosas donde se debe hacer verdadero plan de austeridad y no se está haciendo, pero es muy buen ejemplo y es como se debe hacer hasta que estemos como debemos.",
"Populismo a su máxima expresión ,el Tesla tiene tela de araña 😢😢😢",negativo
"Creo que al fin tenemos un presidente que respeta lo que dice, eso es muy loable. Que siga así.",
Bravooooooooo por mi presidente @luisabinader @raquel_arbaje 😍así se hace patria ….! Dios les Bendiga abundantemente,
Que es un excelente presidente !!! Y si quisieran avión privado tendrían . 👏👏👏,
A mí me encantó,
Ojalá que todos sean populistas y nos ahorren mucho dinero como estado. Así dique pa’ brillar.,
Espero que así también se queden en un hotel humilde bo dique en el Ritz Carlton porque si no estamos en lo mismo o peor 😂😂😂,
Cuanto bulto Dios mío 😂😂😂 Como que hacer eso va a ayudar al país. Mejor que dejen de gastar tanto dinero en Publicidad innecesaria o que los funcionarios se bajen el salario eso si haría diferencia,
Para mi populista en un año y pico cuantas veces lo ha hecho.  Eso fue porque @honyconleonel viajo esta semana y el está copando,
"Palo si boga, palo si no boga.",
Eso no cambia nada en el país.,
"Si es con su dinero que viaje hasta en avión privado, si es con el mío,  que siga viajando en económicoa",
Ahorros para el pais ya no le alquilan los aviones a Gonzalo 👏👏👏,
"Mientras a otro le vocean un ladrón, un ladrón a Luis lo aplauden",
"@somospueblord  no Debió, el es un presidente, Porque tan poco el país se esta cayendo a pedazo. No debió",
Payaso😂😂,
Como quiera es malo que pagina está,
"Muy mal,  y un acto de irresponsable un presidente no debe viajar asi, debe cuidar su integridad personal por ser el primer mandatario, no se puede buscar views con todo 🤦‍♂️",
Tu tambien estas con esa medicridad sergio dejale esa estupideces a la tora usa un poco mas ese cerebro mijo 🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬,
"Vivimos en una sociedad fanática, aquí vamos a leer los comentarios de los que decían afuera están y afuera se quedarán, Gonzalo Presidente 😷😷😷",
"Que todo es malo si viene de ese señor, aquí estamos acostumbrados a la pomposidad y el trato indiferente de los políticos tradicionales",
Solo hay que ver cómo se formulan las preguntas de los supuestos actores de las noticias de las redes sociales. Solo fíjense como son las y para que son,
Diablo pero como quiera es malo coño y que lo que quieren que viaje en yola coño y que quede claro que yo soy de ningún partido pero lo demasiado ata dios lo vez,
"Populismo, se hace de todo por cuatro años más ➕ 🔥🔥🔥",negativo
Tanto dinero que piden prestado tanto dinero que se roban y no pueden comprar un avión precidencial para que el presidente salga en el cuando tenga que ir fuera del pais eso digo yo pero aparecerán personas que dirán que eso es muy caro 😂😂😂😂,
"Eso está muy bien, un gesto de humildad y sencillez,",
"Para un viajecito de tres horas? Debería ser decreto viajar en clase turista. Ahora bien, entiendo que el representante del nuestro país, en un viaje largo/transatlántico si debería de buscar la forma de llegar lo más compuesto posible para fajarse a trabajar!",
De todo un poco en proporciones adecuadas 🤷🏻‍♂️😅,
A mí me vale dónde viaje el presidente.,
"Aún haya sido por populismo (que creo que fue la razón… es válido) y está muy bien que el ejemplo empiece por la cabeza de estado. De hecho, muy buen precedente para reducir lo viáticos para esos fines de los demás funcionarios. Gracia’",
Coooñoo pero como quiera es una vaina no joda ombe 🤜🏻🤜🏻🤛🏻🤛🏻,
"Bueno, yo no soy partidario de Luis en muchas cosss pero tremendo gesto, Dios lo bendiga",
Los símbolos son importantes y envían un mensaje . Ya me hubiera gustado ver a los pasados tener este tipo de gestos .,
Pero jefe acuerdese de nosotro figureo y figureo ilo cuarto de nosotro per dido y sin esperansa de conseguir nada,
@mariaelena_001 es una falta de consciencia y criterio que da miedo. Esos son los que quieren volver a gobernar.,
"Si lo hace el de Finlandia o la de Nueva Zelanda: que chulo! No se la da! Protege el dinero del pueblo!... RD: que chopo! Es populismo! Un presidente debe andar con 'seguridad', no a pecho pelao!... Quien c#ño nos entiende????",
Yo la veo excelente la acción. Me importa si es populismo siempre y cuando no malgaste el dinero de los dominicanos. @luisabinader siga con ese ejemplo porfa a ver si le siguen los pasos los de su partido.,
No se sabe no se sabe,
Ahora quieren catalogarlo como populismo y lo que el presidente está es demostrando lo que significa verdadera humildad y austeridad usted,positivo
Austeridad por qué eso fue lo que el dijo hace unos meses que su gobierno implementará este plan.,
"Antes de el ser presi, viajaba así?  Porque aquí todo mundo sabe que @luisabinader tiene su cuarto para viajar como el quiera, y no estoy criticando la acción porque si lo hubiese hecho en un Jet privado, también estuvieramos hablando de eso, ahora bien, si lo hace para poner ejemplos a sus funcionarios excelente, pero si lo hace por populismo mal por él.",
"El hecho es buscarle un pero ,como quiera es malo",
Danilo cuello de cuca fue el último presidente altanero y con costumbres de caudillo. Ese es un buen ejemplo de populismo que nececita la gente para que vean que el presidente tambien es un ser humano.,
El presidente cómo todo ciudadano puede viajar dónde le su gana.... Ahora a mi juicio lo ridículo es el uso político que desde el mismo oficialísmo intentando engañar al pueblo una supuesta falsa austeridad,
Austeridad… el ejemplo empieza por la casa 👏👏👏👏,
"@franciscolluberes y ten por seguro que a Danilo no lo hubiesen aplaudido si hace esto, lo tiran del avion🤣🤣🤣🤣",
Sea lo que sea no es la Choperia y Arrogancia de los PLdeheces asi que nada … no critiques tanto todo 😍 y acepta que es otra fragancia❤️❤️,
"Es impresionante cómo buscan siempre por donde criticar, humildad es lo que fue esto.",
"Más bien, una falta grave. Eso ya no  se hace ni por populismo ni austeridad... Falta de sentido comun",
Es una forma de crear confianza y de que el pueblo vea que se está cambiando 👏,
"Aquí hay un grupo que todo le ""hiede""  y na' le huele que mal vivir el de muchos",
"Un poco de ambas, al final del día lo importante es que es un buen gesto que sus ministros pueden copiar.",
Acto de humildad y austeridad si el presidente compra un avión estuvieran mucho criticando esa acción!!,
"Puede ser no ser. Pero lo hecho hecho está, les guste o no.",
"Para personas mediocres es populismo,pero para personas sensatas es un precedente",
@jerta0326 Éxitos sigue creyendo que el PLD es el único que roba 😂😂😂😂,
"Culpa del PLD no le dejo cualto para el combustible del avión presidencial, bien para el presi y su equipo de publicidad 😂😂😂",
"@el_boru jajajjajaj dijo, me cogieron la gente no hay avión",
Cómo lo quieran ver👀 pero nos ahorramos unos chavos.🤣🤣🤣🤣🤣🤣🤣 @elantinoti,
@elantinoti esperando que acaben al presidente para el no todo está mal😢,
@_novak.johan no va andar en uber,
Ejemplo de modestia para todos …tiene dinero propio para viajar en jet privado o primera clase …eso se llama dar ejemplos !,
"Lambonismo, pero eso es normal en él",
Son como la gata angora...,
La gente siempre habla sin saber . Bien por el presidente 👏,
@evamariagot casi casi la veo Uff gracias por la advertencia,
Ambas!!!,
Eso se llama humildad,
Excelente el es un ciudadano también y tiene todo el derecho de abordar un avión comercial 👏👏👏👏,
Que sea lo que sea pero algo se ahorra en ese viaje .,
"Un presidente debe viajar siempre en avión privado, en vuelos comerciales se pierde mucho tiempo y eso es lo que menos tiene",
Falsa humildad. Se ahorran 200 doláres en un vuelo y se roban 200 millones por detrás 🐈,
